"address","lat","long","accuracy"
"<U+0627><U+0644><U+0634><U+064E><U+0648><U+064E><U+0627><U+0648><U+0652><U+0631><U+064E><U+0629>",29.2985278,42.5509603,"colloquial_area"
"<U+0627><U+0644><U+0634><U+064E><U+0648><U+064E><U+0627><U+0648><U+0652><U+0631><U+064E><U+0629>",29.2985278,42.5509603,"colloquial_area"
"<U+062C><U+0646><U+0627><U+062A><U+0627> (<U+0628><U+062F><U+0651><U+064E> <U+0641><U+0644><U+0648><U+062D>)",33.2858455,35.3196434,"locality"
"<U+062C><U+0646><U+0627><U+062A><U+0627> (<U+0628><U+062F><U+0651><U+064E> <U+0641><U+0644><U+0648><U+062D>)",33.2858455,35.3196434,"locality"
"<U+062C><U+0646><U+0627><U+062A><U+0627> (<U+0628><U+062F><U+0651><U+064E> <U+0641><U+0644><U+0648><U+062D>)",33.2858455,35.3196434,"locality"
"<U+062C><U+0646><U+0627><U+062A><U+0627> (<U+0628><U+062F><U+0651><U+064E> <U+0641><U+0644><U+0648><U+062D>)",33.2858455,35.3196434,"locality"
"<U+062C><U+0646><U+0627><U+062A><U+0627> (<U+0628><U+062F><U+0651><U+064E> <U+0641><U+0644><U+0648><U+062D>)",33.2858455,35.3196434,"locality"
"<U+062C><U+0646><U+0627><U+062A><U+0627> (<U+0628><U+062F><U+0651><U+064E> <U+0641><U+0644><U+0648><U+062D>)",33.2858455,35.3196434,"locality"
"<U+0648><U+0627><U+062F><U+064A> <U+0631><U+064E><U+062D><U+0651><U+064E><U+0627><U+0644>",29.2985278,42.5509603,"colloquial_area"
"<U+0648><U+0627><U+062F><U+064A> <U+0631><U+064E><U+062D><U+0651><U+064E><U+0627><U+0644>",29.2985278,42.5509603,"colloquial_area"
"<U+0648><U+0627><U+062F><U+064A> <U+0631><U+064E><U+062D><U+0651><U+064E><U+0627><U+0644>",29.2985278,42.5509603,"colloquial_area"
"<U+0639><U+064E><U+0631><U+064E><U+0628><U+0652> <U+0627><U+0644><U+0631><U+064E><U+0634><U+0627><U+064A><U+0652><U+062F><U+0650><U+0629>",29.2985278,42.5509603,"colloquial_area"
"<U+0639><U+064E><U+0631><U+064E><U+0628><U+0652> <U+0627><U+0644><U+0631><U+064E><U+0634><U+0627><U+064A><U+0652><U+062F><U+0650><U+0629>",29.2985278,42.5509603,"colloquial_area"
"<U+0628><U+0650><U+064A><U+062A> <U+0623><U+064F><U+0645><U+0651><U+0631>",31.622812,35.102199,"locality"
"<U+0628><U+0650><U+064A><U+062A> <U+0623><U+064F><U+0645><U+0651><U+0631>",31.622812,35.102199,"locality"
"<U+062E><U+064E><U+0627><U+0631><U+064E><U+0627><U+0633>",31.612218,35.044251,"locality"
