"","X","Y","religion"
"334",35.2458669,32.2218351,"muslim"
"335",35.1001289,31.4595567,"muslim"
"336",35.1880537,32.3014768,"muslim"
"337",35.2747787,32.2205624,"muslim"
"338",35.2686971,32.107948,"muslim"
"339",34.9476267,31.5097019,"muslim"
"340",35.2845785,32.1382921,"muslim"
"341",35.1616531,31.5201915,"muslim"
"342",35.3439397,32.1232702,"muslim"
"343",35.2598374,32.1577699,"muslim"
"344",35.2418619,32.2236544,"christian"
"345",35.0789882,31.4698541,"muslim"
"346",35.2690297,32.2130432,"muslim"
"347",35.2871075,32.1617204,"muslim"
"348",35.1929634,32.2764919,"muslim"
"349",35.1437811,31.5837717,"muslim"
"350",35.2908506,32.0878595,"muslim"
"351",35.2489707,32.1807167,"muslim"
"352",35.3300355,32.0842871,"muslim"
"353",35.0821112,31.5135654,"muslim"
"354",35.2157973,32.2922083,"muslim"
"355",34.9711042,31.4087072,"muslim"
"356",35.2936869,32.0715059,"muslim"
"357",35.3439933,32.1258567,"muslim"
"358",35.3671978,32.0568664,"muslim"
"359",35.2550346,32.2258375,"muslim"
"360",34.984561,31.4108393,"muslim"
"361",35.3031198,32.064981,"muslim"
"362",35.2090553,32.1314974,"muslim"
"363",34.9790541,31.4133972,"muslim"
"364",35.2158668,32.2925265,"muslim"
"365",35.1846517,32.2393759,"muslim"
"366",35.3738745,32.1928534,"muslim"
"367",35.2943338,32.0717934,"muslim"
"368",35.2599539,32.2492281,"muslim"
"369",35.3701474,32.191882,"muslim"
"370",35.2650466,32.2488851,"muslim"
"371",35.1167033,31.5135667,"muslim"
"372",35.0884108,31.449328,"muslim"
"373",35.0759697,31.5268538,"muslim"
"374",35.2563045,32.214484,"muslim"
"375",35.295923,32.1446276,"muslim"
"376",35.2493518,32.1795424,"muslim"
"377",35.2434169,32.0715664,"muslim"
"378",35.1910587,32.303028,"muslim"
"379",35.2937645,32.0702608,"muslim"
"380",35.0269298,31.4501841,"muslim"
"381",35.3708582,32.1927335,"muslim"
"382",35.2892228,32.1005729,"muslim"
"383",35.1983692,32.2759833,"muslim"
"384",35.2465024,32.1485461,"muslim"
"385",35.2163872,32.1991541,"muslim"
"386",35.2936147,32.0849531,"muslim"
"387",35.2524644,32.1390366,"muslim"
"388",35.330233,32.0851976,"muslim"
"389",35.1212618,31.5255933,"muslim"
"390",35.2668767,32.2491486,"muslim"
"391",35.2400199,32.2170621,"muslim"
"392",35.3667552,32.0607957,"muslim"
"393",35.1177386,31.4587958,"muslim"
"394",35.080522,31.5159237,"muslim"
"395",35.3670645,32.0608577,"muslim"
"396",35.0928097,31.5122436,"muslim"
"397",35.2589398,32.2131406,"muslim"
"398",35.2141497,32.1788562,"muslim"
"399",35.2119008,32.2005736,"muslim"
"400",35.1230055,31.458524,"muslim"
"401",35.165175,31.5171455,"muslim"
"402",35.084655,31.546392,"muslim"
"403",35.0085957,31.467433,"muslim"
"404",35.0905332,31.5527313,"muslim"
"405",35.220582,32.2269485,"muslim"
"406",35.1002601,31.5245083,"muslim"
"407",35.0150004,31.466348,"muslim"
"408",35.0774336,31.5194778,"muslim"
"409",35.1824968,32.2385118,"muslim"
"410",35.2806235,32.2103344,"muslim"
"411",35.1539783,31.6238944,"muslim"
"412",35.1937465,32.3003415,"muslim"
"413",35.0797882,31.6330884,"muslim"
"414",35.3356288,32.1762603,"muslim"
"415",35.2447441,32.14749,"muslim"
"416",35.3353751,32.17764,"muslim"
"417",35.1970522,32.266239,"muslim"
"418",35.1003598,31.5296993,"muslim"
"419",35.1577412,31.5173033,"muslim"
"420",35.2387457,32.2022688,"muslim"
"421",35.1206248,31.4647627,"muslim"
"422",35.274985,32.1920303,"muslim"
"423",35.3483696,32.1204419,"muslim"
"424",35.2411848,32.0714883,"muslim"
"425",35.2529042,32.2215232,"christian"
"426",35.2579238,32.0848796,"muslim"
"427",35.3300826,32.1770666,"muslim"
"428",35.0603041,31.4801718,"muslim"
"429",35.2845292,32.1980092,"muslim"
"430",35.2871005,32.1069931,"muslim"
"431",35.3096867,32.2228684,"muslim"
"432",35.1009075,31.5144046,"muslim"
"433",35.1022855,31.621575,"muslim"
"434",35.3220229,32.1015198,"muslim"
"435",35.2520478,32.138306,"muslim"
"436",35.3245007,32.2110155,"muslim"
"437",35.1031312,31.5419677,"muslim"
"438",35.2890189,32.1431662,"muslim"
"439",35.093126,31.4458628,"muslim"
"440",35.2689857,32.1101078,"muslim"
"441",35.2836894,32.1612321,"muslim"
"442",35.2096336,32.2342299,"muslim"
"443",35.0284691,31.5974212,"muslim"
"444",35.3299849,32.2089081,"muslim"
"445",35.1938958,32.2708699,"muslim"
"446",35.0858937,31.5284121,"muslim"
"447",35.2339233,32.2202757,"muslim"
"448",35.252446,32.1765412,"muslim"
"449",35.3472777,32.1274754,"muslim"
"450",35.090105,31.5418971,"muslim"
"451",35.1025973,31.5863012,"muslim"
"452",35.2580832,32.1492116,"muslim"
"453",35.3334839,32.0814524,"muslim"
"454",35.1074014,31.4411941,"muslim"
"455",35.1058953,31.521543,"muslim"
"456",35.0905987,31.5461963,"muslim"
"457",35.0192602,31.6005498,"muslim"
"458",35.2208178,32.224528,"muslim"
"459",35.189049,32.254226,"muslim"
"460",35.328307,32.0855559,"muslim"
"461",35.1849165,32.2395024,"muslim"
"462",35.1676713,31.5229864,"muslim"
"463",35.0825643,31.5591948,"muslim"
"464",35.2778412,32.1035026,"muslim"
"465",34.9531386,31.5063976,"muslim"
"466",35.2886347,32.1042643,"muslim"
"467",35.2532678,32.2208687,"muslim"
"468",35.2693071,32.2507906,"muslim"
"469",35.2658668,32.2197618,"muslim"
"470",35.337955,32.1242929,"muslim"
"471",35.286823,32.1432506,"muslim"
"472",35.2946859,32.0705222,"muslim"
"473",35.2645636,32.2211205,"muslim"
"474",35.3448026,32.1280209,"muslim"
"475",35.234275,32.2236159,"christian"
"476",35.1940265,32.2537151,"muslim"
"477",35.2627366,32.2168883,"muslim"
