X,Y,code,fclass,name
35.222106,31.7101283,"3100",christian,ÙƒÙ†ÙŠØ³Ø© Ù…Ø§Ø± Ø³Ø§Ø¨Ø§
35.1977966,31.7120598,"3100",christian,Al-me'madaneya Church
35.1612545,31.7033859,"3100",christian,Al-Khader Church
35.1617589,31.7033688,"3300",muslim,Mosque
35.1634664,31.6971096,"3300",muslim,Al-Khader Mosque
35.1853487,31.6876676,"3100",christian,Convent
35.1997497,31.7173393,"3300",muslim,AL-Kubba
35.1723831,31.7268626,"3100",christian,Cramisan Convent
35.2462504,31.7024124,"3300",muslim,Ù…Ø³Ø¬Ø¯ Ø§Ù„Ù‚Ø¹Ù‚Ø§Ø¹ Ø¨Ù† Ø¹Ù…Ø±Ùˆ
35.2018452,31.7186685,"3200",jewish,×§×‘×¨ ×¨×—×œ
35.1994203,31.7043936,"3100",christian,Ø¯ÙŠØ± Ø±Ø§Ù‡Ø¨Ø§Øª Ø§Ù„ÙƒØ±Ù…Ù„
35.1837953,31.7015511,"3300",muslim,Al_Kholafa' Al_rashideen Mosque
35.2726629,31.7124809,"3300",muslim,Al-Obaydiah Mosque
35.2745449,31.7179744,"3300",muslim,Al-Noor Mosque
35.2828885,31.721141,"3100",christian,Church
35.1753492,31.6987243,"3300",muslim,Zaid Ebn Thabet Mosque
35.1834647,31.6943501,"3300",muslim,Dheisheh mosque
35.2182538,31.7035034,"3100",christian,ÙƒÙ†ÙŠØ³Ø© Ø¨Ø¦Ø± Ø§Ù„Ø³ÙŠØ¯Ø©
35.1674782,31.7281341,"3300",muslim,Al-Raj'a
35.1801113,31.6937421,"3300",muslim,Nasr mosque
35.1647986,31.7344576,"3300",muslim,Al Walaja Cemetery
35.1622089,31.7379545,"3300",muslim,Al-Noor Mosque
35.161045,31.7257281,"3300",muslim,Al-Huda Mosque
35.2649485,31.6960747,"3300",muslim,Um Al-Qurah
35.2767075,31.6919858,"3300",muslim,Al-Shuhada' Mosque
35.2659104,31.6913997,"3300",muslim,Abu- Baker Mosque
35.2677271,31.6854199,"3300",muslim,Omar Ben Alkhatab Mosque
35.2526768,31.6899661,"3300",muslim,Abu-Thar Al-Ghafari Moaque
35.2573874,31.674818,"3300",muslim,Za'tra Al-Kaber Mosque
35.2214424,31.6622824,"3300",muslim,Al-Zeer Mosque
35.2114465,31.6611359,"3300",muslim,Hamza ibn Abdel-Mutaleb Mosque
35.1992145,31.6620696,"3300",muslim,Abu Njeam Mosque
35.2639316,31.6695458,"3300",muslim,Ebad Al-Rahman Mosque
35.2458007,31.6719017,"3300",muslim,Mosque
35.141493,31.7185184,"3300",muslim,Al-Hareeq Mosque
35.1338771,31.7110073,"3300",muslim,Al-Zawya
35.168045,31.6657446,"3300",muslim,Wad-Rahhal Mosque
35.1672819,31.6644096,"3300",muslim,Wad-Rahhal Cemetery
35.250222,31.712769,"3300",muslim,Abdallah Azzam Mosque
35.2745144,31.7177458,"3300",muslim,Al-Abrar Mosque
35.2825906,31.7211323,"3100",christian,Ebn-Obaid Convent
35.2857025,31.7172201,"3300",muslim,Al-Noor Mosque
35.2894941,31.7156997,"3300",muslim,Al-Takwa Mosque
35.2995219,31.7157761,"3300",muslim,Mosque
35.2998927,31.7206662,"3300",muslim,Mosque
35.2896772,31.7246782,"3300",muslim,Hassan Bin Thabet Mosque
35.274802,31.7052143,"3300",muslim,Omar Bin Al-Khatab Mosque
35.2813654,31.6980663,"3300",muslim,Al-Naser Mosque
35.2556318,31.704671,"3300",muslim,Mosque
35.1173876,31.6835852,"3300",muslim,Mosque
35.226462,31.640568,"3300",muslim,Tqo' Mosque
35.2208952,31.6348234,"3300",muslim,Al-Anssar Mosque
35.1604389,31.6541002,"3300",muslim,Wadi Al-Nies Mosque
35.1907886,31.6587879,"3300",muslim,Al-Atqea' Mosque
35.2349068,31.679312,"3300",muslim,Omar Ben Al-Khatab
35.236568,31.6853787,"3300",muslim,Al-Da'oa Mosque
35.2313935,31.6848546,"3300",muslim,Al-Hemri Mosque
35.2206955,31.6773356,"3300",muslim,Mosque
35.220234,31.6689182,"3300",muslim,Al-Ansar Mosque
35.2255729,31.6706291,"3300",muslim,Al-Furqan Mosque
35.1990264,31.7200055,"3300",muslim,Abu-Baker Al-Sedeeq Mosque
35.1954921,31.7199155,"3300",muslim,Ahmad Ibn Hanbal Mosque
35.2014106,31.7143861,"3300",muslim,Al A`zzah Mousqe
35.1861341,31.6888529,"3300",muslim,Omar Ben Al-Khatab
35.1864584,31.6867449,"3100",christian,Virgin Mary Convent
35.1751336,32.4451596,"3301",muslim_sunni,Mu'ath ibn jabal mosque
35.1639813,32.4493896,"3301",muslim_sunni,Al Shaheed Basel Mosque
35.1693014,32.4505577,"3301",muslim_sunni,Al Noor Mosque
35.1691808,32.4471765,"3301",muslim_sunni,Al Kasem Mosque
35.1685552,32.4490467,"3301",muslim_sunni,Ya'bad Graveyard
35.168523,32.4466526,"3301",muslim_sunni,North Neighborhood Mosque
35.3517277,32.3509999,"3300",muslim,Bilal Ibn Rabah
